Family Office,Metro Area,AUM,LinkedIn,Website,Notes,City,Description,Connections,Action Items:,Discussed
Dominion Capital,NYC,"$1,500,000,000.00 ",,https://domcapllc.com/,,New York,"Dominion Capital is a distinguished financial services firm specializing in providing comprehensive investment management and advisory solutions to a diverse clientele, including high-net-worth individuals, families, and institutional investors. The firm's mission is to deliver tailored financial strategies that ensure the preservation and growth of wealth over the long term. Dominion Capital offers a wide range of services, including portfolio management, financial planning, risk management, and strategic advisory. The firm is dedicated to building long-lasting relationships with clients, grounded in trust, transparency, and a deep understanding of their unique financial goals and values.",,,
Broadstreet Family Office,NYC,"$1,500,000,000.00 ",,https://broadstreetfamilyoffice.com/,,Somers,"Broadstreet Family Office is a boutique wealth management and advisory firm dedicated to serving the complex financial needs of high-net-worth families and individuals. The firm prides itself on providing highly personalized service, tailored financial strategies, and comprehensive wealth management solutions. With a focus on preserving and growing wealth across generations, Broadstreet Family Office offers a wide range of services including investment management, estate planning, tax advisory, and philanthropic guidance. The firm’s approach is client-centric, emphasizing a deep understanding of each client’s unique financial goals, values, and aspirations. Broadstreet Family Office operates with a commitment to integrity, transparency, and long-term partnership, ensuring that clients receive the highest standard of care and expertise.",,,
L Investments,NYC,"$1,500,000,000.00 ",,https://N/A,,New York,"L Investments is a single-family office based in New York and Miami. The firm invests in oil and gas, clean tech, clean energy, hedge funds, and private equity. The firm is a family office that invests globally across all asset classes. The investment office represents the interests of an ultra-high-net-worth family. The assets of the firm are managed and governed by the executive management team.",,,
Willton Investment Management,NYC,"$1,200,000,000.00 ",,https://willtongroup.com/,,New York,"Willton Investment Management is the investment arm of the Willton Investment Group, the family office founded by the Luo family. Based in New York, the group is focused primarily in developing and investing in multifamily and residential real estate properties.",,,
Cyanos Holdings LLC,NYC,"$1,000,000,000.00 ",,https://www.cyanos.com/,,New York,"Cyanos was founded in 2020, and specializes in alternative investments. At this time, Cyanos works exclusively with a family office. Aref Jessani serves as the outsourced CIO for the family office.",,,
Raycliff Capital,NYC,"$1,000,000,000.00 ",,https://raycliff.com/,,New York,"Based in Irvine, California, The Mayer Corporation is a cohesive team of real estate development professionals who focus on results. We provide our clients with a breadth and depth of talent and services that’s simply unmatched in real estate development – from land acquisition to the operation of completed real estate assets. In today’s complex business climate, you need the highest level of expertise and professionalism. We’ve been fulfilling – and surpassing – the expectations of our clients, partners, lenders and the communities in which we work for more than 50 years",,,
Interventure Capital group,NYC,"$1,000,000,000.00 ",,https://n/a,,Jersey City,,,,
Three Cairns Group,NYC,"$1,000,000,000.00 ",,https://www.threecairnsgroup.com/,,New York,"The Three Cairns Group is an investment and philanthropic firm dedicated to addressing the climate crisis. It aims to accelerate the clean energy transition and promote equitable, transformative progress through developing and supporting cross-sector initiatives",,,
Whitford Management,NYC,"$1,000,000,000.00 ",,https://www.whitfordmanagement.com/,,New York,Whitford Management is a private investment firm and single-family office. They invest and allocate their permanent capital base across a wide variety of public and private markets investment strategies and asset classes. They also oversee our Founders’ real estate investment and development portfolio and charitable foundation.,,,
FORCE Family Office,NYC,"$1,000,000,000.00 ",,https://forcefamilyoffice.com/,,New York,"This is not a family office but rather a network focusing on Family Office events, research and networking. FORCE is the largest network of family offices in the United States with a substantial and growing presence internationally. In 2022 alone, we hosted more than 150 events and are on pace to exceed that in 2023. Our team is dedicated to helping family offices connect with private and public companies for co-investment, research, education and philanthropy.",,,
Table Management,NYC,"$1,000,000,000.00 ",,https://N/A,,New York,"Manages the assets of Bill Ackman, the Founder and CEO of Pershing Square Capital",,,
Icahn Capital LP,NYC,"$1,000,000,000.00 ",,https://www.ielp.com/,,New York,"Icahn Capital Management LP, founded by Carl Icahn, is a New York-based investment firm. Known for its activist investment strategy, the firm acquires significant stakes in undervalued companies and seeks to enhance shareholder value through operational improvements, strategic initiatives, and sometimes leadership changes.",,,
JMC Investment LLC,NYC,"$1,000,000,000.00 ",,https://www.jmc-investment.net/,,New York,"JMC Investment LLC operates as the direct equity investment arm of the Painvin family's JMC Family Investment Office, focusing primarily on the middle market. The firm is committed to making long-term equity investments in innovative industrial companies. These companies generally have valuations between $10 million and $200 million, with JMC Investment LLC typically preferring to take a majority stake. The goal is to establish enduring relationships with entrepreneurs, thereby enabling them to pursue their growth strategies and realize their full potential​​. JMC Investment LLC is part of the broader JMC Family Office, which positions itself as a family office structure dedicated exclusively to investment and the creation of long-term growth. Distinguishing itself through its experience and the way it partners in relationships, JMC Family Office emphasizes its role as ""Partners in Ambition,"" highlighting a commitment to collaborative and ambitious growth strategies​.",,,
"Georgica Advisors, LLC",NYC,"$1,000,000,000.00 ",,https://N/A,,New York,"Georgica Advisors is a single family office based in New York City. Investments include public equities, hedge funds, real estate, and venture capital.",,,
"Terrace Tower Group
",NYC,"$1,000,000,000.00 ",https://www.linkedin.com/company/terrace-tower-group/people/,https://ttgroup.co/,a few connections with tyler hamblin - Tom Cote from Holyoke,New York,"Founded in 1985 by the late John Saunders AO, co-founder of Westfield, Terrace Tower Group is a family run real estate and investment company. With a foundation in commercial real estate, the Group invests across a number of asset classes, through its offices in Sydney, New York and Portland.",2nd Tier Connections,JT: Tom Cote,
